url_origen,locale_fantasma,locale_correcto,path,accion,url_destino,ultimo_rastreo
https://evacaravan.com/en-at/cart/change,en-at,de-at,/cart/change,bloquear-robots-txt,,2026-01-12
https://evacaravan.com/en-at/collections/accesorios-gas,en-at,de-at,/collections/accesorios-gas,301,https://evacaravan.com/de-at/collections/accesorios-gas,2026-04-24
https://evacaravan.com/en-at/collections/accesorios-para-portabicis,en-at,de-at,/collections/accesorios-para-portabicis,301,https://evacaravan.com/de-at/collections/accesorios-para-portabicis,2026-02-23
https://evacaravan.com/en-at/collections/alarma,en-at,de-at,/collections/alarma,301,https://evacaravan.com/de-at/collections/alarma,2026-04-09
https://evacaravan.com/en-at/collections/all/products/acoplamiento-estabilizador-aks™-3004,en-at,de-at,/collections/all/products/acoplamiento-estabilizador-aks™-3004,301,https://evacaravan.com/de-at/collections/all/products/acoplamiento-estabilizador-aks™-3004,2026-03-20
https://evacaravan.com/en-at/collections/all/products/aire-acondicionado-silent-8400h,en-at,de-at,/collections/all/products/aire-acondicionado-silent-8400h,301,https://evacaravan.com/de-at/collections/all/products/aire-acondicionado-silent-8400h,2026-03-20
https://evacaravan.com/en-at/collections/all/products/antena-terrestre-omnidireccional-tonna-1,en-at,de-at,/collections/all/products/antena-terrestre-omnidireccional-tonna-1,301,https://evacaravan.com/de-at/collections/all/products/antena-terrestre-omnidireccional-tonna-1,2026-03-26
https://evacaravan.com/en-at/collections/all/products/campana-extractora-12v,en-at,de-at,/collections/all/products/campana-extractora-12v,301,https://evacaravan.com/de-at/collections/all/products/campana-extractora-12v,2026-01-23
https://evacaravan.com/en-at/collections/all/products/cargador-bateria,en-at,de-at,/collections/all/products/cargador-bateria,301,https://evacaravan.com/de-at/collections/all/products/cargador-bateria,2026-03-24
https://evacaravan.com/en-at/collections/all/products/cerradura-de-seguridad-meroni-ufo-plus-para-vehiculos-comerciales,en-at,de-at,/collections/all/products/cerradura-de-seguridad-meroni-ufo-plus-para-vehiculos-comerciales,301,https://evacaravan.com/de-at/collections/all/products/cerradura-de-seguridad-meroni-ufo-plus-para-vehiculos-comerciales,2026-03-26
https://evacaravan.com/en-at/collections/all/products/cerradura-para-furgoneta-meroni-ufo-auto-classic,en-at,de-at,/collections/all/products/cerradura-para-furgoneta-meroni-ufo-auto-classic,301,https://evacaravan.com/de-at/collections/all/products/cerradura-para-furgoneta-meroni-ufo-auto-classic,2026-03-19
https://evacaravan.com/en-at/collections/all/products/claraboya-domestic-heki-2,en-at,de-at,/collections/all/products/claraboya-domestic-heki-2,301,https://evacaravan.com/de-at/collections/all/products/claraboya-domestic-heki-2,2026-01-13
https://evacaravan.com/en-at/collections/all/products/claraboya-domestic-midi-heki-500x700-mm,en-at,de-at,/collections/all/products/claraboya-domestic-midi-heki-500x700-mm,301,https://evacaravan.com/de-at/collections/all/products/claraboya-domestic-midi-heki-500x700-mm,2026-03-19
https://evacaravan.com/en-at/collections/all/products/escalon-electrico-thule-peldano-simple-550-mm,en-at,de-at,/collections/all/products/escalon-electrico-thule-peldano-simple-550-mm,301,https://evacaravan.com/de-at/collections/all/products/escalon-electrico-thule-peldano-simple-550-mm,2026-03-25
https://evacaravan.com/en-at/collections/all/products/inodoro-portatil-porta-pottis-qube-335,en-at,de-at,/collections/all/products/inodoro-portatil-porta-pottis-qube-335,301,https://evacaravan.com/de-at/collections/all/products/inodoro-portatil-porta-pottis-qube-335,2026-03-20
https://evacaravan.com/en-at/collections/all/products/inodoro-portatil-porta-pottis-qube-365,en-at,de-at,/collections/all/products/inodoro-portatil-porta-pottis-qube-365,301,https://evacaravan.com/de-at/collections/all/products/inodoro-portatil-porta-pottis-qube-365,2026-01-09
https://evacaravan.com/en-at/collections/all/products/kit-acoplamiento-estabilizador-aks™-3004-antirrobo,en-at,de-at,/collections/all/products/kit-acoplamiento-estabilizador-aks™-3004-antirrobo,301,https://evacaravan.com/de-at/collections/all/products/kit-acoplamiento-estabilizador-aks™-3004-antirrobo,2026-03-08
